#TYPE System.Diagnostics.Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__NounName,Name,Handles,VM,WS,PM,NPM,Path,Company,CPU,FileVersion,ProductVersion,Description,Product,BasePriority,ExitCode,HasExited,ExitTime,Handle,SafeHandle,HandleCount,Id,MachineName,MainWindowHandle,MainWindowTitle,MainModule,MaxWorkingSet,MinWorkingSet,Modules,NonpagedSystemMemorySize,NonpagedSystemMemorySize64,PagedMemorySize,PagedMemorySize64,PagedSystemMemorySize,PagedSystemMemorySize64,PeakPagedMemorySize,PeakPagedMemorySize64,PeakWorkingSet,PeakWorkingSet64,PeakVirtualMemorySize,PeakVirtualMemorySize64,PriorityBoostEnabled,PriorityClass,PrivateMemorySize,PrivateMemorySize64,PrivilegedProcessorTime,ProcessName,ProcessorAffinity,Responding,SessionId,StartInfo,StartTime,SynchronizingObject,Threads,TotalProcessorTime,UserProcessorTime,VirtualMemorySize,VirtualMemorySize64,EnableRaisingEvents,StandardInput,StandardOutput,StandardError,WorkingSet,WorkingSet64,Site,Container
Process,AppleMobileDeviceService,192,109723648,12062720,3272704,20280,,,,,,,,8,,,,,,192,2268,.,0,,,,,,20280,20280,3272704,3272704,204320,204320,3309568,3309568,13795328,13795328,112893952,112893952,,,3272704,3272704,,AppleMobileDeviceService,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,109723648,109723648,FALSE,,,,12062720,12062720,,
Process,ApplicationFrameHost,262,2.20E+12,20439040,12218368,17800,C:\WINDOWS\system32\ApplicationFrameHost.exe,Microsoft Corporation,0.328125,10.0.10240.16384 (th1.150709-1700),10.0.10240.16384,Application Frame Host,Microsoft? Windows? Operating System,8,,FALSE,,2276,Microsoft.Win32.SafeHandles.SafeProcessHandle,262,1568,.,0,,System.Diagnostics.ProcessModule (ApplicationFrameHost.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,17800,17800,12218368,12218368,333736,333736,17031168,17031168,26984448,26984448,272703488,2.20E+12,TRUE,Normal,12218368,12218368,00:00.2,ApplicationFrameHost,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:10,,System.Diagnostics.ProcessThreadCollection,00:00.3,00:00.1,232308736,2.20E+12,FALSE,,,,20439040,20439040,,
Process,atieclxx,217,97443840,9932800,2154496,11816,,,,,,,,8,,,,,,217,1304,.,0,,,,,,11816,11816,2154496,2154496,181744,181744,2314240,2314240,11010048,11010048,104660992,104660992,,,2154496,2154496,,atieclxx,,TRUE,1,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,97443840,97443840,FALSE,,,,9932800,9932800,,
Process,atiesrxx,134,31158272,5554176,1101824,7408,,,,,,,,8,,,,,,134,1220,.,0,,,,,,7408,7408,1101824,1101824,58936,58936,1245184,1245184,6148096,6148096,36442112,36442112,,,1101824,1101824,,atiesrxx,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,31158272,31158272,FALSE,,,,5554176,5554176,,
Process,audiodg,192,2.20E+12,15425536,9641984,12840,,,0.140625,,,,,8,,,,,,192,8456,.,0,,,,,,12840,12840,9641984,9641984,167808,167808,16900096,16900096,22536192,22536192,103415808,2.20E+12,,,9641984,9641984,0:00:00,audiodg,,TRUE,0,System.Diagnostics.ProcessStartInfo,12/7/2015 16:32,,System.Diagnostics.ProcessThreadCollection,00:00.1,00:00.1,91893760,2.20E+12,FALSE,,,,15425536,15425536,,
Process,avp,2827,838758400,128004096,378187776,482992,,,,,,,,8,,,,,,2827,2200,.,0,,,,,,482992,482992,378187776,378187776,455360,455360,890773504,890773504,601829376,601829376,1386033152,1386033152,,,378187776,378187776,,avp,,TRUE,0,System.Diagnostics.ProcessStartInfo,,,System.Diagnostics.ProcessThreadCollection,,,838758400,838758400,FALSE,,,,128004096,128004096,,
Process,avpui,1210,600387584,106835968,117907456,133080,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Internet Security 15.0.2\avpui.exe,Kaspersky Lab ZAO,1398.125,15.0.2.448,15.0.2.448,Kaspersky Anti-Virus,Kaspersky Anti-Virus,8,,FALSE,,2636,Microsoft.Win32.SafeHandles.SafeProcessHandle,1210,4116,.,132170,Kaspersky Internet Security,System.Diagnostics.ProcessModule (avpui.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,133080,133080,117907456,117907456,807272,807272,152358912,152358912,168804352,168804352,718045184,718045184,TRUE,Normal,117907456,117907456,02:12.6,avpui,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 9:48,,System.Diagnostics.ProcessThreadCollection,23:18.1,21:05.5,600387584,600387584,FALSE,,,,106835968,106835968,,
Process,CCC,786,862081024,7094272,94203904,67608,C:\Program Files (x86)\AMD\ATI.ACE\Core-Static\CCC.exe,Advanced Micro Devices Inc.,8.34375,4.5.0.0,4.5.0.0,Catalyst Control Center: Host application,Catalyst Control Center,8,,FALSE,,2236,Microsoft.Win32.SafeHandles.SafeProcessHandle,786,6744,.,0,,System.Diagnostics.ProcessModule (CCC.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,67608,67608,94203904,94203904,832968,832968,102895616,102895616,70516736,70516736,892981248,892981248,TRUE,Normal,94203904,94203904,00:02.8,CCC,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 9:50,,System.Diagnostics.ProcessThreadCollection,00:08.3,00:05.6,862081024,862081024,FALSE,,,,7094272,7094272,,
Process,chrome,217,203763712,14139392,27312128,21152,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,0.765625,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,6044,Microsoft.Win32.SafeHandles.SafeProcessHandle,217,320,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,21152,21152,27312128,27312128,288600,288600,27643904,27643904,26681344,26681344,205086720,205086720,TRUE,Normal,27312128,27312128,00:00.1,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:18,,System.Diagnostics.ProcessThreadCollection,00:00.8,00:00.6,203763712,203763712,FALSE,,,,14139392,14139392,,
Process,chrome,218,290082816,70123520,83476480,26864,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,37.859375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,5600,Microsoft.Win32.SafeHandles.SafeProcessHandle,218,964,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,26864,26864,83476480,83476480,292704,292704,132005888,132005888,117235712,117235712,317583360,317583360,TRUE,Normal,83476480,83476480,00:02.7,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:18,,System.Diagnostics.ProcessThreadCollection,00:37.9,00:35.2,290082816,290082816,FALSE,,,,70123520,70123520,,
Process,chrome,536,672681984,115789824,201838592,40688,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,856.828125,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,3092,Microsoft.Win32.SafeHandles.SafeProcessHandle,536,1016,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,40688,40688,201838592,201838592,667576,667576,313065472,313065472,303136768,303136768,784936960,784936960,TRUE,Normal,201838592,201838592,04:44.4,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:17,,System.Diagnostics.ProcessThreadCollection,14:16.8,09:32.4,672681984,672681984,FALSE,,,,115789824,115789824,,
Process,chrome,239,247873536,52936704,46219264,24824,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.140625,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,1844,Microsoft.Win32.SafeHandles.SafeProcessHandle,239,1164,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,24824,24824,46219264,46219264,355240,355240,57024512,57024512,58392576,58392576,251842560,251842560,TRUE,Idle,46219264,46219264,00:00.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 16:31,,System.Diagnostics.ProcessThreadCollection,00:01.1,00:01.0,247873536,247873536,FALSE,,,,52936704,52936704,,
