#TYPE System.ServiceProcess.ServiceController
"Name"|"RequiredServices"|"CanPauseAndContinue"|"CanShutdown"|"CanStop"|"DisplayName"|"DependentServices"|"MachineName"|"ServiceName"|"ServicesDependedOn"|"ServiceHandle"|"Status"|"ServiceType"|"Site"|"Container"
"AJRouter"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"AllJoyn Router Service"|"System.ServiceProcess.ServiceController[]"|"."|"AJRouter"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"||
"ALG"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Application Layer Gateway Service"|"System.ServiceProcess.ServiceController[]"|"."|"ALG"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"||
"AMD External Events Utility"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"AMD External Events Utility"|"System.ServiceProcess.ServiceController[]"|"."|"AMD External Events Utility"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"||
"AppIDSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Application Identity"|"System.ServiceProcess.ServiceController[]"|"."|"AppIDSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"||
"Appinfo"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Application Information"|"System.ServiceProcess.ServiceController[]"|"."|"Appinfo"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"||
"Apple Mobile Device Service"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Apple Mobile Device Service"|"System.ServiceProcess.ServiceController[]"|"."|"Apple Mobile Device Service"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"||
"AppReadiness"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"App Readiness"|"System.ServiceProcess.ServiceController[]"|"."|"AppReadiness"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"||
"AppXSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"AppX Deployment Service (AppXSVC)"|"System.ServiceProcess.ServiceController[]"|"."|"AppXSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"||
"aspnet_state"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"ASP.NET State Service"|"System.ServiceProcess.ServiceController[]"|"."|"aspnet_state"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"||
"AudioEndpointBuilder"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Windows Audio Endpoint Builder"|"System.ServiceProcess.ServiceController[]"|"."|"AudioEndpointBuilder"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"||
